id,key,value,type
4295954130,power,tower,regular
4295954131,power,tower,regular
4295954132,power,tower,regular
4295954133,power,tower,regular
4295954134,power,tower,regular
4295954135,power,tower,regular
4295954136,power,tower,regular
4296010891,shop,travel_agency,regular
4296010891,shop,travel_agency,regular
4296260277,power,tower,regular
4296260278,power,tower,regular
4296260279,power,tower,regular
4296260280,power,tower,regular
4296260281,power,tower,regular
4296260282,power,tower,regular
4296260283,power,tower,regular
4296260284,power,tower,regular
4296260286,power,tower,regular
4296260689,power,tower,regular
4296260691,power,tower,regular
4296260692,power,tower,regular
4296260693,power,tower,regular
4296260694,power,tower,regular
4296260695,power,tower,regular
4296260696,power,tower,regular
4296260697,power,tower,regular
4296260698,power,tower,regular
4296260699,power,tower,regular
4296260700,power,tower,regular
4296260701,power,tower,regular
4296260702,power,tower,regular
4296260703,power,tower,regular
4296260704,power,tower,regular
4296260705,power,tower,regular
4296260706,power,tower,regular
4296260707,power,tower,regular
4296260708,power,tower,regular
4296260709,power,tower,regular
4296260710,power,tower,regular
4296260711,power,tower,regular
4296260712,power,tower,regular
4296260713,power,tower,regular
4296260714,power,tower,regular
4296260715,power,tower,regular
4296260716,power,tower,regular
4296260717,power,tower,regular
4296260718,power,tower,regular
4296260719,power,tower,regular
4296260720,power,tower,regular
4296260721,power,tower,regular
4296260722,power,tower,regular
4296260723,power,tower,regular
4296260724,power,tower,regular
4296260725,power,tower,regular
4296260726,power,tower,regular
4296260727,power,tower,regular
4296260728,power,tower,regular
4296260729,power,tower,regular
4296260730,power,tower,regular
4296260731,power,tower,regular
4296260732,power,tower,regular
4296260733,power,tower,regular
4296260734,power,tower,regular
4296260735,power,tower,regular
4296260736,power,tower,regular
4296260737,power,tower,regular
4296260738,power,tower,regular
4296260739,power,tower,regular
4296260740,power,tower,regular
4296260741,power,tower,regular
4296260742,power,tower,regular
4296260743,power,tower,regular
4296260744,power,tower,regular
4296260745,power,tower,regular
4296260746,power,tower,regular
4296260747,power,tower,regular
4296260748,power,tower,regular
4296260749,power,tower,regular
4296260750,power,tower,regular
4296260751,power,tower,regular
4296260752,power,tower,regular
4296260753,power,tower,regular
4296260754,power,tower,regular
4296260755,power,tower,regular
4296260756,power,tower,regular
4296260757,power,tower,regular
4296260758,power,tower,regular
4296260759,power,tower,regular
4296260760,power,tower,regular
4296260761,power,tower,regular
4296260762,power,tower,regular
4296260763,power,tower,regular
4296260764,power,tower,regular
4296260765,power,tower,regular
4296260766,power,tower,regular
4296260767,power,tower,regular
4296260768,power,tower,regular
4296260769,power,tower,regular
4296260770,power,tower,regular
4296260771,power,tower,regular
4296260772,power,tower,regular
4296260773,power,tower,regular
4296260774,power,tower,regular
4296260775,power,tower,regular
4296260776,power,tower,regular
4296260777,power,tower,regular
4296260778,power,tower,regular
4296260779,power,tower,regular
4296260780,power,tower,regular
4296260781,power,tower,regular
4296260782,power,tower,regular
4296260783,power,tower,regular
4296260784,power,tower,regular
4296260785,power,tower,regular
4296260786,power,tower,regular
4296260787,power,tower,regular
4296260788,power,tower,regular
4296260989,power,tower,regular
4296260990,power,tower,regular
4296260991,power,tower,regular
4296260992,power,tower,regular
4296260993,power,tower,regular
4296260994,power,tower,regular
4296260995,power,tower,regular
4296260996,power,tower,regular
4296260997,power,tower,regular
4296260998,power,tower,regular
4296260999,power,tower,regular
4296261000,power,tower,regular
4296261001,power,tower,regular
4296261002,power,tower,regular
4296261003,power,tower,regular
4296261004,power,tower,regular
4296261005,power,tower,regular
4296261008,power,tower,regular
4296261015,power,tower,regular
4296261016,power,tower,regular
4296261017,power,tower,regular
4296261018,power,tower,regular
4296261019,power,tower,regular
4296261020,power,tower,regular
4296261021,power,tower,regular
4296261024,power,tower,regular
4296261025,power,tower,regular
4296261028,power,tower,regular
4296261029,power,tower,regular
4296261030,power,tower,regular
4296261031,power,tower,regular
4296261032,power,tower,regular
4296261033,power,tower,regular
4296261034,power,tower,regular
4312162896,street,Adalaj -sarkhej road,addr
4312162896,street,Adalaj -sarkhej road,addr
4312162896,street,Adalaj -sarkhej road,addr
4312165296,street,Gota Road NH-147,addr
4312165296,street,Gota Road NH-147,addr
4312165296,street,Gota Road NH-147,addr
4312193889,postcode,382421,addr
4312193889,postcode,382421,addr
